ENLIGHTEN Version,2.2.7
Measurement ID,20201009-093810-270034-WP-00702
Serial Number,WP-00702
Model,WP-785-C2-LMMFC
Label,09:38:10 WP-00702
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,1000
Timestamp,2020-10-09 09:38:10.270034
Note,
Temperature,-14.52968311496079
CCD C0,790.7625122070312
CCD C1,0.28129664063453674
CCD C2,1.8011121937888674e-05
CCD C3,-2.512435592905149e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.051
Laser Enable,True
Laser Power,50.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
0,790.76,92.00,21250.10,21250.10,,
1,791.04,96.50,21272.20,21272.20,,
2,791.33,101.00,21242.80,21242.80,,
3,791.61,105.49,21113.10,21113.10,,
4,791.89,109.98,20833.80,20833.80,,
5,792.17,114.46,20414.00,20414.00,,
6,792.45,118.95,19864.40,19864.40,,
7,792.73,123.43,19324.10,19324.10,,
8,793.01,127.91,18755.60,18755.60,,
9,793.30,132.38,18231.60,18231.60,,
10,793.58,136.86,17777.20,17777.20,,
11,793.86,141.33,17438.50,17438.50,,
12,794.14,145.80,17129.70,17129.70,,
13,794.42,150.26,16786.90,16786.90,,
14,794.70,154.73,16367.20,16367.20,,
15,794.99,159.19,15941.30,15941.30,,
16,795.27,163.64,15457.90,15457.90,,
17,795.55,168.10,14982.50,14982.50,,
18,795.83,172.55,14689.30,14689.30,,
19,796.11,177.00,14680.40,14680.40,,
20,796.40,181.45,14983.70,14983.70,,
21,796.68,185.89,15531.40,15531.40,,
22,796.96,190.34,16192.90,16192.90,,
23,797.24,194.78,16985.40,16985.40,,
24,797.52,199.21,17900.90,17900.90,,
25,797.81,203.65,18820.40,18820.40,,
26,798.09,208.08,19862.70,19862.70,,
27,798.37,212.51,21025.90,21025.90,,
28,798.65,216.93,22366.80,22366.80,,
29,798.93,221.36,23778.00,23778.00,,
30,799.22,225.78,25394.10,25394.10,,
31,799.50,230.20,26881.10,26881.10,,
32,799.78,234.61,27967.20,27967.20,,
33,800.06,239.03,28167.60,28167.60,,
34,800.35,243.44,27069.30,27069.30,,
35,800.63,247.84,24819.40,24819.40,,
36,800.91,252.25,21885.60,21885.60,,
37,801.19,256.65,19017.20,19017.20,,
38,801.48,261.05,16613.20,16613.20,,
39,801.76,265.45,14736.70,14736.70,,
40,802.04,269.84,13318.70,13318.70,,
41,802.32,274.24,12199.20,12199.20,,
42,802.61,278.63,11307.60,11307.60,,
43,802.89,283.01,10550.50,10550.50,,
44,803.17,287.40,9896.50,9896.50,,
45,803.46,291.78,9330.40,9330.40,,
46,803.74,296.16,8858.90,8858.90,,
47,804.02,300.53,8466.20,8466.20,,
48,804.30,304.91,8134.60,8134.60,,
49,804.59,309.28,7843.90,7843.90,,
50,804.87,313.65,7610.10,7610.10,,
51,805.15,318.01,7417.20,7417.20,,
52,805.44,322.38,7272.40,7272.40,,
53,805.72,326.74,7179.20,7179.20,,
54,806.00,331.09,7101.80,7101.80,,
55,806.28,335.45,7042.90,7042.90,,
56,806.57,339.80,7026.50,7026.50,,
57,806.85,344.15,7038.30,7038.30,,
58,807.13,348.50,7067.40,7067.40,,
59,807.42,352.85,7123.80,7123.80,,
60,807.70,357.19,7225.50,7225.50,,
61,807.98,361.53,7341.30,7341.30,,
62,808.27,365.86,7474.70,7474.70,,
63,808.55,370.20,7616.70,7616.70,,
64,808.83,374.53,7760.00,7760.00,,
65,809.12,378.86,7857.80,7857.80,,
66,809.40,383.18,7937.40,7937.40,,
67,809.68,387.51,8029.10,8029.10,,
68,809.97,391.83,8046.20,8046.20,,
69,810.25,396.15,8033.80,8033.80,,
70,810.53,400.46,7959.80,7959.80,,
71,810.82,404.78,7812.50,7812.50,,
72,811.10,409.09,7638.80,7638.80,,
73,811.38,413.40,7382.10,7382.10,,
74,811.67,417.70,7175.80,7175.80,,
75,811.95,422.00,7007.50,7007.50,,
76,812.23,426.30,6882.60,6882.60,,
77,812.52,430.60,6792.60,6792.60,,
78,812.80,434.90,6750.30,6750.30,,
79,813.08,439.19,6695.60,6695.60,,
80,813.37,443.48,6647.20,6647.20,,
81,813.65,447.76,6613.30,6613.30,,
82,813.94,452.05,6574.60,6574.60,,
83,814.22,456.33,6562.70,6562.70,,
84,814.50,460.61,6538.20,6538.20,,
85,814.79,464.89,6503.20,6503.20,,
86,815.07,469.16,6480.30,6480.30,,
87,815.36,473.43,6443.30,6443.30,,
88,815.64,477.70,6428.50,6428.50,,
89,815.92,481.97,6420.40,6420.40,,
90,816.21,486.23,6416.00,6416.00,,
91,816.49,490.49,6394.90,6394.90,,
92,816.77,494.75,6384.60,6384.60,,
93,817.06,499.00,6366.20,6366.20,,
94,817.34,503.26,6381.10,6381.10,,
95,817.63,507.51,6369.50,6369.50,,
96,817.91,511.75,6370.20,6370.20,,
97,818.19,516.00,6358.80,6358.80,,
98,818.48,520.24,6332.40,6332.40,,
99,818.76,524.48,6290.70,6290.70,,
100,819.05,528.72,6285.00,6285.00,,
101,819.33,532.95,6280.10,6280.10,,
102,819.62,537.18,6267.50,6267.50,,
103,819.90,541.41,6249.60,6249.60,,
104,820.18,545.64,6264.00,6264.00,,
105,820.47,549.86,6296.60,6296.60,,
106,820.75,554.08,6339.40,6339.40,,
107,821.04,558.30,6392.00,6392.00,,
108,821.32,562.52,6517.30,6517.30,,
109,821.61,566.73,6791.60,6791.60,,
110,821.89,570.94,7130.20,7130.20,,
111,822.17,575.15,7129.30,7129.30,,
112,822.46,579.36,6802.40,6802.40,,
113,822.74,583.56,6574.70,6574.70,,
114,823.03,587.76,6440.20,6440.20,,
115,823.31,591.96,6418.60,6418.60,,
116,823.60,596.15,6452.30,6452.30,,
117,823.88,600.34,6507.80,6507.80,,
118,824.17,604.53,6482.90,6482.90,,
119,824.45,608.72,6418.60,6418.60,,
120,824.73,612.91,6373.50,6373.50,,
121,825.02,617.09,6380.70,6380.70,,
122,825.30,621.27,6411.10,6411.10,,
123,825.59,625.44,6479.30,6479.30,,
124,825.87,629.62,6537.60,6537.60,,
125,826.16,633.79,6551.80,6551.80,,
126,826.44,637.96,6550.70,6550.70,,
127,826.73,642.12,6531.90,6531.90,,
128,827.01,646.29,6557.90,6557.90,,
129,827.30,650.45,6602.70,6602.70,,
130,827.58,654.61,6700.70,6700.70,,
131,827.86,658.76,6867.10,6867.10,,
132,828.15,662.91,7196.70,7196.70,,
133,828.43,667.06,8070.90,8070.90,,
134,828.72,671.21,10436.00,10436.00,,
135,829.00,675.36,15668.70,15668.70,,
136,829.29,679.50,21567.50,21567.50,,
137,829.57,683.64,22254.00,22254.00,,
138,829.86,687.78,17394.10,17394.10,,
139,830.14,691.91,11942.40,11942.40,,
140,830.43,696.04,8826.80,8826.80,,
141,830.71,700.17,7493.70,7493.70,,
142,831.00,704.30,6925.70,6925.70,,
143,831.28,708.43,6632.00,6632.00,,
144,831.57,712.55,6443.50,6443.50,,
145,831.85,716.67,6339.20,6339.20,,
146,832.14,720.78,6269.20,6269.20,,
147,832.42,724.90,6206.20,6206.20,,
148,832.71,729.01,6145.40,6145.40,,
149,832.99,733.12,6100.70,6100.70,,
150,833.28,737.22,6039.70,6039.70,,
151,833.56,741.32,6037.90,6037.90,,
152,833.85,745.43,5996.50,5996.50,,
153,834.13,749.52,5987.10,5987.10,,
154,834.42,753.62,5975.60,5975.60,,
155,834.70,757.71,5972.60,5972.60,,
156,834.99,761.80,5980.40,5980.40,,
157,835.27,765.89,5970.00,5970.00,,
158,835.56,769.97,5987.30,5987.30,,
159,835.84,774.06,5978.10,5978.10,,
160,836.13,778.14,5992.80,5992.80,,
161,836.41,782.21,5999.50,5999.50,,
162,836.70,786.29,6001.30,6001.30,,
163,836.98,790.36,5960.40,5960.40,,
164,837.27,794.43,5956.10,5956.10,,
165,837.55,798.50,5962.60,5962.60,,
166,837.84,802.56,5952.00,5952.00,,
167,838.12,806.62,5933.10,5933.10,,
168,838.41,810.68,5908.10,5908.10,,
169,838.69,814.74,5898.10,5898.10,,
170,838.98,818.79,5900.00,5900.00,,
171,839.27,822.84,5895.80,5895.80,,
172,839.55,826.89,5895.50,5895.50,,
173,839.84,830.94,5873.50,5873.50,,
174,840.12,834.98,5885.90,5885.90,,
175,840.41,839.02,5883.80,5883.80,,
176,840.69,843.06,5888.60,5888.60,,
177,840.98,847.09,5895.10,5895.10,,
178,841.26,851.13,5876.50,5876.50,,
179,841.55,855.16,5879.00,5879.00,,
180,841.83,859.18,5859.10,5859.10,,
181,842.12,863.21,5859.10,5859.10,,
182,842.40,867.23,5858.00,5858.00,,
183,842.69,871.25,5836.60,5836.60,,
184,842.97,875.27,5841.10,5841.10,,
185,843.26,879.28,5854.90,5854.90,,
186,843.55,883.30,5850.60,5850.60,,
187,843.83,887.31,5864.90,5864.90,,
188,844.12,891.31,5880.90,5880.90,,
189,844.40,895.32,5883.80,5883.80,,
190,844.69,899.32,5886.20,5886.20,,
191,844.97,903.32,5895.10,5895.10,,
192,845.26,907.31,5900.50,5900.50,,
193,845.54,911.31,5898.90,5898.90,,
194,845.83,915.30,5931.10,5931.10,,
195,846.11,919.29,5945.50,5945.50,,
196,846.40,923.27,5971.70,5971.70,,
197,846.68,927.26,6003.70,6003.70,,
198,846.97,931.24,6032.60,6032.60,,
199,847.26,935.22,6056.30,6056.30,,
200,847.54,939.19,6091.70,6091.70,,
201,847.83,943.16,6137.20,6137.20,,
202,848.11,947.13,6158.60,6158.60,,
203,848.40,951.10,6184.00,6184.00,,
204,848.68,955.07,6199.40,6199.40,,
205,848.97,959.03,6258.10,6258.10,,
206,849.25,962.99,6332.70,6332.70,,
207,849.54,966.95,6439.20,6439.20,,
208,849.83,970.90,6618.90,6618.90,,
209,850.11,974.85,6824.20,6824.20,,
210,850.40,978.80,7019.00,7019.00,,
211,850.68,982.75,7062.00,7062.00,,
212,850.97,986.70,7032.70,7032.70,,
213,851.25,990.64,6977.70,6977.70,,
214,851.54,994.58,6903.10,6903.10,,
215,851.82,998.51,6824.80,6824.80,,
216,852.11,1002.45,6710.00,6710.00,,
217,852.40,1006.38,6567.50,6567.50,,
218,852.68,1010.31,6541.30,6541.30,,
219,852.97,1014.23,6547.00,6547.00,,
220,853.25,1018.16,6581.30,6581.30,,
221,853.54,1022.08,6604.00,6604.00,,
222,853.82,1026.00,6622.10,6622.10,,
223,854.11,1029.91,6667.70,6667.70,,
224,854.39,1033.83,6678.00,6678.00,,
225,854.68,1037.74,6729.50,6729.50,,
226,854.97,1041.65,6783.00,6783.00,,
227,855.25,1045.55,6808.40,6808.40,,
228,855.54,1049.46,6841.40,6841.40,,
229,855.82,1053.36,6845.80,6845.80,,
230,856.11,1057.25,6872.80,6872.80,,
231,856.39,1061.15,6908.30,6908.30,,
232,856.68,1065.04,6949.30,6949.30,,
233,856.96,1068.93,7034.90,7034.90,,
234,857.25,1072.82,7116.30,7116.30,,
235,857.54,1076.71,7218.50,7218.50,,
236,857.82,1080.59,7315.10,7315.10,,
237,858.11,1084.47,7401.80,7401.80,,
238,858.39,1088.35,7494.30,7494.30,,
239,858.68,1092.22,7579.10,7579.10,,
240,858.96,1096.09,7658.70,7658.70,,
241,859.25,1099.96,7701.60,7701.60,,
242,859.54,1103.83,7779.70,7779.70,,
243,859.82,1107.69,7857.40,7857.40,,
244,860.11,1111.56,7941.20,7941.20,,
245,860.39,1115.41,8032.40,8032.40,,
246,860.68,1119.27,8128.40,8128.40,,
247,860.96,1123.13,8219.40,8219.40,,
248,861.25,1126.98,8336.80,8336.80,,
249,861.53,1130.83,8448.10,8448.10,,
250,861.82,1134.67,8562.60,8562.60,,
251,862.11,1138.52,8690.70,8690.70,,
252,862.39,1142.36,8807.20,8807.20,,
253,862.68,1146.20,8931.10,8931.10,,
254,862.96,1150.03,9064.10,9064.10,,
255,863.25,1153.87,9187.20,9187.20,,
256,863.53,1157.70,9349.30,9349.30,,
257,863.82,1161.53,9478.70,9478.70,,
258,864.10,1165.35,9646.00,9646.00,,
259,864.39,1169.17,9801.10,9801.10,,
260,864.68,1173.00,9942.40,9942.40,,
261,864.96,1176.81,10073.30,10073.30,,
262,865.25,1180.63,10169.00,10169.00,,
263,865.53,1184.44,10294.20,10294.20,,
264,865.82,1188.25,10368.00,10368.00,,
265,866.10,1192.06,10462.30,10462.30,,
266,866.39,1195.87,10545.10,10545.10,,
267,866.67,1199.67,10649.30,10649.30,,
268,866.96,1203.47,10745.60,10745.60,,
269,867.25,1207.27,10836.20,10836.20,,
270,867.53,1211.06,10913.20,10913.20,,
271,867.82,1214.85,10987.20,10987.20,,
272,868.10,1218.64,11087.30,11087.30,,
273,868.39,1222.43,11178.60,11178.60,,
274,868.67,1226.22,11280.10,11280.10,,
275,868.96,1230.00,11357.70,11357.70,,
276,869.24,1233.78,11472.30,11472.30,,
277,869.53,1237.56,11568.50,11568.50,,
278,869.82,1241.33,11676.00,11676.00,,
279,870.10,1245.10,11789.20,11789.20,,
280,870.39,1248.87,11924.90,11924.90,,
281,870.67,1252.64,12063.40,12063.40,,
282,870.96,1256.40,12219.80,12219.80,,
283,871.24,1260.17,12316.50,12316.50,,
284,871.53,1263.92,12481.10,12481.10,,
285,871.81,1267.68,12631.60,12631.60,,
286,872.10,1271.44,12750.60,12750.60,,
287,872.38,1275.19,12925.20,12925.20,,
288,872.67,1278.94,13124.60,13124.60,,
289,872.96,1282.68,13361.80,13361.80,,
290,873.24,1286.43,13653.00,13653.00,,
291,873.53,1290.17,13973.70,13973.70,,
292,873.81,1293.91,14333.30,14333.30,,
293,874.10,1297.64,14701.90,14701.90,,
294,874.38,1301.38,15099.60,15099.60,,
295,874.67,1305.11,15574.40,15574.40,,
296,874.95,1308.84,16056.80,16056.80,,
297,875.24,1312.56,16613.80,16613.80,,
298,875.52,1316.29,17180.60,17180.60,,
299,875.81,1320.01,17745.20,17745.20,,
300,876.09,1323.73,18340.90,18340.90,,
301,876.38,1327.44,18913.60,18913.60,,
302,876.66,1331.16,19468.90,19468.90,,
303,876.95,1334.87,20014.80,20014.80,,
304,877.24,1338.58,20538.40,20538.40,,
305,877.52,1342.28,21021.50,21021.50,,
306,877.81,1345.99,21432.90,21432.90,,
307,878.09,1349.69,21822.30,21822.30,,
308,878.38,1353.38,22163.10,22163.10,,
309,878.66,1357.08,22439.30,22439.30,,
310,878.95,1360.77,22731.60,22731.60,,
311,879.23,1364.46,22943.80,22943.80,,
312,879.52,1368.15,23135.60,23135.60,,
313,879.80,1371.84,23274.50,23274.50,,
314,880.09,1375.52,23352.10,23352.10,,
315,880.37,1379.20,23353.20,23353.20,,
316,880.66,1382.88,23342.40,23342.40,,
317,880.94,1386.56,23300.50,23300.50,,
318,881.23,1390.23,23225.00,23225.00,,
319,881.51,1393.90,23086.90,23086.90,,
320,881.80,1397.57,22902.30,22902.30,,
321,882.08,1401.23,22709.80,22709.80,,
322,882.37,1404.89,22491.00,22491.00,,
323,882.65,1408.56,22258.70,22258.70,,
324,882.94,1412.21,22035.70,22035.70,,
325,883.22,1415.87,21792.40,21792.40,,
326,883.51,1419.52,21541.70,21541.70,,
327,883.79,1423.17,21341.90,21341.90,,
328,884.08,1426.82,21123.00,21123.00,,
329,884.36,1430.46,20923.10,20923.10,,
330,884.65,1434.11,20679.70,20679.70,,
331,884.93,1437.75,20498.80,20498.80,,
332,885.22,1441.38,20306.10,20306.10,,
333,885.50,1445.02,20083.20,20083.20,,
334,885.79,1448.65,19882.80,19882.80,,
335,886.07,1452.28,19727.20,19727.20,,
336,886.36,1455.91,19560.20,19560.20,,
337,886.64,1459.53,19355.90,19355.90,,
338,886.93,1463.16,19184.60,19184.60,,
339,887.21,1466.78,18977.50,18977.50,,
340,887.50,1470.39,18751.70,18751.70,,
341,887.78,1474.01,18565.20,18565.20,,
342,888.07,1477.62,18366.20,18366.20,,
343,888.35,1481.23,18178.00,18178.00,,
344,888.64,1484.84,17959.00,17959.00,,
345,888.92,1488.44,17716.00,17716.00,,
346,889.21,1492.05,17528.40,17528.40,,
347,889.49,1495.65,17330.90,17330.90,,
348,889.78,1499.24,17234.30,17234.30,,
349,890.06,1502.84,17144.80,17144.80,,
350,890.35,1506.43,17077.00,17077.00,,
351,890.63,1510.02,17012.20,17012.20,,
352,890.91,1513.61,17004.00,17004.00,,
353,891.20,1517.19,16929.50,16929.50,,
354,891.48,1520.78,16875.80,16875.80,,
355,891.77,1524.36,16851.20,16851.20,,
356,892.05,1527.93,16791.20,16791.20,,
357,892.34,1531.51,16771.20,16771.20,,
358,892.62,1535.08,16732.70,16732.70,,
359,892.91,1538.65,16700.80,16700.80,,
360,893.19,1542.22,16623.40,16623.40,,
361,893.48,1545.78,16570.20,16570.20,,
362,893.76,1549.34,16451.30,16451.30,,
363,894.04,1552.90,16358.80,16358.80,,
364,894.33,1556.46,16288.60,16288.60,,
365,894.61,1560.02,16196.90,16196.90,,
366,894.90,1563.57,16096.90,16096.90,,
367,895.18,1567.12,15981.10,15981.10,,
368,895.47,1570.67,15892.00,15892.00,,
369,895.75,1574.21,15848.70,15848.70,,
370,896.04,1577.75,15762.80,15762.80,,
371,896.32,1581.29,15700.60,15700.60,,
372,896.60,1584.83,15632.30,15632.30,,
373,896.89,1588.36,15617.60,15617.60,,
374,897.17,1591.90,15594.90,15594.90,,
375,897.46,1595.43,15554.60,15554.60,,
376,897.74,1598.95,15486.10,15486.10,,
377,898.03,1602.48,15419.80,15419.80,,
378,898.31,1606.00,15361.20,15361.20,,
379,898.59,1609.52,15251.20,15251.20,,
380,898.88,1613.04,15153.50,15153.50,,
381,899.16,1616.55,15055.60,15055.60,,
382,899.45,1620.07,14916.50,14916.50,,
383,899.73,1623.58,14753.80,14753.80,,
384,900.01,1627.08,14571.20,14571.20,,
385,900.30,1630.59,14424.30,14424.30,,
386,900.58,1634.09,14230.50,14230.50,,
387,900.87,1637.59,14082.30,14082.30,,
388,901.15,1641.09,13958.80,13958.80,,
389,901.43,1644.58,13805.30,13805.30,,
390,901.72,1648.08,13645.50,13645.50,,
391,902.00,1651.57,13479.10,13479.10,,
392,902.29,1655.05,13321.70,13321.70,,
393,902.57,1658.54,13119.10,13119.10,,
394,902.85,1662.02,12939.10,12939.10,,
395,903.14,1665.50,12757.80,12757.80,,
396,903.42,1668.98,12583.70,12583.70,,
397,903.70,1672.46,12439.90,12439.90,,
398,903.99,1675.93,12316.00,12316.00,,
399,904.27,1679.40,12228.90,12228.90,,
400,904.55,1682.87,12160.50,12160.50,,
401,904.84,1686.33,12090.10,12090.10,,
402,905.12,1689.79,12016.40,12016.40,,
403,905.41,1693.25,11925.60,11925.60,,
404,905.69,1696.71,11840.20,11840.20,,
405,905.97,1700.17,11717.50,11717.50,,
406,906.26,1703.62,11602.20,11602.20,,
407,906.54,1707.07,11472.40,11472.40,,
408,906.82,1710.52,11347.40,11347.40,,
409,907.11,1713.97,11221.80,11221.80,,
410,907.39,1717.41,11083.50,11083.50,,
411,907.67,1720.85,10985.90,10985.90,,
412,907.96,1724.29,10853.70,10853.70,,
413,908.24,1727.72,10747.20,10747.20,,
414,908.52,1731.16,10685.10,10685.10,,
415,908.81,1734.59,10601.80,10601.80,,
416,909.09,1738.02,10527.20,10527.20,,
417,909.37,1741.44,10458.90,10458.90,,
418,909.66,1744.87,10411.10,10411.10,,
419,909.94,1748.29,10379.50,10379.50,,
420,910.22,1751.71,10307.30,10307.30,,
421,910.51,1755.12,10278.80,10278.80,,
422,910.79,1758.54,10225.20,10225.20,,
423,911.07,1761.95,10218.00,10218.00,,
424,911.36,1765.36,10136.20,10136.20,,
425,911.64,1768.76,10070.40,10070.40,,
426,911.92,1772.17,9994.70,9994.70,,
427,912.20,1775.57,9930.30,9930.30,,
428,912.49,1778.97,9863.90,9863.90,,
429,912.77,1782.36,9801.60,9801.60,,
430,913.05,1785.76,9760.90,9760.90,,
431,913.34,1789.15,9723.00,9723.00,,
432,913.62,1792.54,9687.90,9687.90,,
433,913.90,1795.92,9670.80,9670.80,,
434,914.18,1799.31,9681.20,9681.20,,
435,914.47,1802.69,9669.90,9669.90,,
436,914.75,1806.07,9664.80,9664.80,,
437,915.03,1809.45,9655.00,9655.00,,
438,915.31,1812.82,9650.80,9650.80,,
439,915.60,1816.19,9677.60,9677.60,,
440,915.88,1819.56,9670.10,9670.10,,
441,916.16,1822.93,9667.30,9667.30,,
442,916.44,1826.29,9645.90,9645.90,,
443,916.73,1829.66,9643.90,9643.90,,
444,917.01,1833.02,9635.20,9635.20,,
445,917.29,1836.37,9640.00,9640.00,,
446,917.57,1839.73,9602.40,9602.40,,
447,917.86,1843.08,9561.50,9561.50,,
448,918.14,1846.43,9556.10,9556.10,,
449,918.42,1849.78,9509.70,9509.70,,
450,918.70,1853.12,9497.10,9497.10,,
451,918.99,1856.47,9442.90,9442.90,,
452,919.27,1859.81,9415.20,9415.20,,
453,919.55,1863.15,9373.50,9373.50,,
454,919.83,1866.48,9340.50,9340.50,,
455,920.11,1869.81,9298.20,9298.20,,
456,920.40,1873.15,9257.70,9257.70,,
457,920.68,1876.47,9212.00,9212.00,,
458,920.96,1879.80,9187.60,9187.60,,
459,921.24,1883.12,9148.90,9148.90,,
460,921.52,1886.44,9092.20,9092.20,,
461,921.81,1889.76,9047.00,9047.00,,
462,922.09,1893.08,8996.30,8996.30,,
463,922.37,1896.39,8920.50,8920.50,,
464,922.65,1899.70,8854.40,8854.40,,
465,922.93,1903.01,8771.30,8771.30,,
466,923.22,1906.32,8688.70,8688.70,,
467,923.50,1909.62,8605.00,8605.00,,
468,923.78,1912.92,8496.40,8496.40,,
469,924.06,1916.22,8399.00,8399.00,,
470,924.34,1919.52,8282.00,8282.00,,
471,924.62,1922.81,8193.30,8193.30,,
472,924.91,1926.11,8089.50,8089.50,,
473,925.19,1929.40,7986.90,7986.90,,
474,925.47,1932.68,7920.10,7920.10,,
475,925.75,1935.97,7824.70,7824.70,,
476,926.03,1939.25,7744.30,7744.30,,
477,926.31,1942.53,7654.80,7654.80,,
478,926.59,1945.81,7560.90,7560.90,,
479,926.87,1949.08,7475.30,7475.30,,
480,927.16,1952.36,7370.70,7370.70,,
481,927.44,1955.63,7256.10,7256.10,,
482,927.72,1958.89,7145.20,7145.20,,
483,928.00,1962.16,7000.30,7000.30,,
484,928.28,1965.42,6868.80,6868.80,,
485,928.56,1968.68,6737.20,6737.20,,
486,928.84,1971.94,6611.30,6611.30,,
487,929.12,1975.20,6485.30,6485.30,,
488,929.40,1978.45,6381.90,6381.90,,
489,929.69,1981.70,6274.60,6274.60,,
490,929.97,1984.95,6176.20,6176.20,,
491,930.25,1988.20,6081.70,6081.70,,
492,930.53,1991.44,5980.10,5980.10,,
493,930.81,1994.68,5894.40,5894.40,,
494,931.09,1997.92,5799.40,5799.40,,
495,931.37,2001.16,5719.30,5719.30,,
496,931.65,2004.39,5632.30,5632.30,,
497,931.93,2007.62,5540.90,5540.90,,
498,932.21,2010.85,5443.20,5443.20,,
499,932.49,2014.08,5365.30,5365.30,,
500,932.77,2017.30,5260.50,5260.50,,
501,933.05,2020.53,5170.00,5170.00,,
502,933.33,2023.75,5083.60,5083.60,,
503,933.61,2026.96,5019.00,5019.00,,
