,mM
614.838,2517
615.629,2522
616.421,2529
617.212,2543
618.003,2576
618.794,2586
619.585,2585
620.375,2558
621.166,2546
621.956,2561
622.746,2561
623.536,2579
624.326,2562
625.116,2617
625.905,2617
626.694,2634
627.484,2620
628.273,2619
629.062,2652
629.85,2623
630.639,2627
631.427,2620
632.215,2601
633.004,2615
633.792,2601
634.579,2569
635.367,2553
636.154,2575
636.942,2575
637.729,2555
638.516,2515
639.303,2531
640.089,2517
640.876,2479
641.662,2470
642.448,2471
643.234,2510
644.02,2482
644.806,2506
645.592,2514
646.377,2527
647.162,2529
647.947,2464
648.732,2474
649.517,2483
650.302,2474
651.086,2465
651.871,2466
652.655,2490
653.439,2500
654.223,2504
655.006,2488
655.79,2480
656.573,2496
657.356,2514
658.139,2498
658.922,2478
659.705,2449
660.488,2424
661.27,2413
662.052,2445
662.834,2463
663.616,2442
664.398,2450
665.18,2481
665.961,2457
666.743,2462
667.524,2455
668.305,2458
669.086,2482
669.866,2469
670.647,2461
671.427,2425
672.208,2432
672.988,2425
673.768,2443
674.547,2438
675.327,2459
676.107,2427
676.886,2397
677.665,2398
678.444,2419
679.223,2420
680.001,2399
680.78,2421
681.558,2408
682.337,2404
683.115,2393
683.893,2363
684.67,2361
685.448,2348
686.225,2384
687.003,2407
687.78,2404
688.557,2410
689.333,2417
690.11,2410
690.887,2389
691.663,2373
692.439,2363
693.215,2386
693.991,2386
694.767,2395
695.542,2363
696.318,2337
697.093,2341
697.868,2317
698.643,2321
699.418,2308
700.192,2345
700.967,2371
701.741,2364
702.515,2351
703.289,2335
704.063,2334
704.837,2334
705.61,2364
706.384,2368
707.157,2367
707.93,2371
708.703,2355
709.476,2376
710.248,2356
711.021,2344
711.793,2340
712.565,2327
713.337,2362
714.109,2349
714.881,2328
715.652,2307
716.423,2291
717.195,2276
717.966,2289
718.737,2290
719.507,2294
720.278,2299
721.048,2262
721.819,2237
722.589,2249
723.359,2259
724.128,2247
724.898,2242
725.668,2229
726.437,2235
727.206,2223
727.975,2207
728.744,2198
729.513,2188
730.281,2185
731.05,2197
731.818,2204
732.586,2212
733.354,2231
734.122,2225
734.889,2208
735.657,2186
736.424,2191
737.191,2199
737.958,2200
738.725,2212
739.492,2208
740.259,2200
741.025,2175
741.791,2160
742.557,2217
743.323,2219
744.089,2208
744.855,2205
745.62,2168
746.385,2169
747.151,2187
747.916,2204
748.681,2186
749.445,2160
750.21,2149
750.974,2136
751.738,2163
752.503,2173
753.266,2165
754.03,2175
754.794,2185
755.557,2174
756.321,2157
757.084,2170
757.847,2185
758.61,2201
759.372,2203
760.135,2173
760.897,2164
761.66,2176
762.422,2204
763.184,2201
763.945,2201
764.707,2201
765.468,2204
766.23,2192
766.991,2204
767.752,2175
768.513,2170
769.273,2165
770.034,2171
770.794,2162
771.555,2119
772.315,2148
773.075,2138
773.834,2164
774.594,2145
775.354,2158
776.113,2172
776.872,2158
777.631,2144
778.39,2144
779.149,2142
779.907,2128
780.666,2114
781.424,2110
782.182,2088
782.94,2105
783.698,2116
784.455,2120
785.213,2107
785.97,2097
786.727,2098
787.484,2085
788.241,2080
788.998,2084
789.754,2083
790.511,2112
791.267,2114
792.023,2113
792.779,2125
793.535,2145
794.291,2142
795.046,2118
795.801,2132
796.557,2130
797.312,2130
798.067,2128
798.821,2126
799.576,2126
800.33,2144
801.085,2136
801.839,2129
802.593,2158
803.346,2166
804.1,2172
804.854,2175
805.607,2146
806.36,2156
807.113,2144
807.866,2145
808.619,2142
809.371,2149
810.124,2139
810.876,2126
811.628,2132
812.38,2146
813.132,2142
813.884,2122
814.635,2134
815.387,2141
816.138,2141
816.889,2154
817.64,2132
818.391,2132
819.141,2141
819.892,2145
820.642,2123
821.392,2131
822.142,2145
822.892,2161
823.642,2154
824.391,2150
825.141,2130
825.89,2134
826.639,2129
827.388,2128
828.137,2143
828.885,2140
829.634,2150
830.382,2145
831.13,2132
831.878,2140
832.626,2129
833.374,2108
834.121,2110
834.869,2116
835.616,2103
836.363,2121
837.11,2159
837.857,2135
838.604,2126
839.35,2119
840.097,2110
840.843,2108
841.589,2122
842.335,2102
843.081,2122
843.826,2141
844.572,2157
845.317,2151
846.062,2108
846.807,2104
847.552,2099
848.297,2117
849.041,2116
849.785,2134
850.53,2105
851.274,2105
852.018,2113
852.761,2112
853.505,2118
854.249,2097
854.992,2112
855.735,2104
856.478,2109
857.221,2106
857.964,2127
858.706,2135
859.449,2098
860.191,2111
860.933,2079
861.675,2077
862.417,2105
863.159,2099
863.9,2124
864.641,2101
865.383,2111
866.124,2126
866.865,2139
867.605,2133
868.346,2124
869.087,2118
869.827,2128
870.567,2133
871.307,2113
872.047,2090
872.787,2077
873.526,2100
874.266,2119
875.005,2104
875.744,2110
876.483,2123
877.222,2128
877.96,2123
878.699,2119
879.437,2140
880.175,2123
880.913,2108
881.651,2108
882.389,2094
883.127,2089
883.864,2084
884.601,2073
885.339,2095
886.076,2089
886.813,2095
887.549,2113
888.286,2100
889.022,2091
889.758,2086
890.495,2100
891.23,2095
891.966,2108
892.702,2113
893.437,2105
894.173,2104
894.908,2124
895.643,2151
896.378,2150
897.113,2146
897.847,2157
898.582,2137
899.316,2137
900.05,2131
900.784,2138
901.518,2138
902.252,2111
902.985,2079
903.719,2094
904.452,2076
905.185,2052
905.918,2068
906.651,2063
907.383,2069
908.116,2046
908.848,2049
909.581,2062
910.313,2072
911.045,2090
911.776,2094
912.508,2062
913.239,2018
913.971,2015
914.702,2028
915.433,2029
916.164,2019
916.894,2013
917.625,2007
918.355,2026
919.086,2037
919.816,2047
920.546,2050
921.276,2049
922.005,2018
922.735,2063
923.464,2054
924.193,2064
924.922,2044
925.651,2076
926.38,2072
927.109,2048
927.837,2018
928.566,2018
929.294,2006
930.022,1995
930.75,2011
931.477,2001
932.205,1985
932.932,1979
933.66,1977
934.387,2016
935.114,2021
935.841,2035
936.567,2012
937.294,2014
938.02,2028
938.747,2053
939.473,2044
940.199,2053
940.924,2052
941.65,2037
942.376,2036
943.101,2064
943.826,2064
944.551,2040
945.276,2025
946.001,2003
946.725,2017
947.45,2020
948.174,2023
948.898,2046
949.622,2041
950.346,2042
951.07,2026
951.794,2019
952.517,2013
953.24,2038
953.963,2056
954.686,2063
955.409,2054
956.132,2056
956.854,2064
957.577,2077
958.299,2077
959.021,2066
959.743,2044
960.465,2024
961.187,2009
961.908,2021
962.629,2017
963.351,2011
964.072,2013
964.793,2035
965.513,2049
966.234,2009
966.954,2010
967.675,2018
968.395,2040
969.115,2032
969.835,2029
970.555,2006
971.274,2001
971.994,2009
972.713,2029
973.432,2045
974.151,2056
974.87,2041
975.589,2035
976.307,2045
977.025,2053
977.744,2064
978.462,2072
979.18,2063
979.898,2053
980.615,2074
981.333,2097
982.05,2093
982.767,2087
983.484,2074
984.201,2069
984.918,2088
985.635,2096
986.351,2084
987.068,2053
987.784,2077
988.5,2068
989.216,2059
989.931,2055
990.647,2069
991.363,2057
992.078,2056
992.793,2043
993.508,2064
994.223,2099
994.938,2112
995.652,2113
996.367,2106
997.081,2127
997.795,2117
998.509,2149
999.223,2162
999.937,2183
1000.65,2208
1001.36,2207
1002.08,2172
1002.79,2174
1003.5,2152
1004.22,2118
1004.93,2108
1005.64,2101
1006.35,2090
1007.07,2097
1007.78,2069
1008.49,2036
1009.2,2024
1009.91,2036
1010.62,2035
1011.34,2033
1012.05,2007
1012.76,2011
1013.47,2014
1014.18,2013
1014.89,2045
1015.6,2031
1016.31,2002
1017.02,2010
1017.73,2024
1018.44,2006
1019.15,2001
1019.86,2015
1020.57,2023
1021.28,2058
1021.99,2088
1022.7,2033
1023.41,2021
1024.11,2029
1024.82,2064
1025.53,2069
1026.24,2050
1026.95,2074
1027.66,2074
1028.36,2052
1029.07,2035
1029.78,2057
1030.49,2072
1031.19,2075
1031.9,2051
1032.61,2046
1033.31,2084
1034.02,2088
1034.73,2101
1035.43,2115
1036.14,2110
1036.85,2080
1037.55,2061
1038.26,2073
1038.96,2082
1039.67,2083
1040.38,2087
1041.08,2093
1041.79,2056
1042.49,2046
1043.2,2062
1043.9,2071
1044.6,2062
1045.31,2051
1046.01,2037
1046.72,2029
1047.42,2022
1048.12,2014
1048.83,2036
1049.53,2043
1050.23,2051
1050.94,2035
1051.64,2029
1052.34,2041
1053.05,2066
1053.75,2063
1054.45,2058
1055.15,2103
1055.86,2085
1056.56,2082
1057.26,2045
1057.96,2048
1058.66,2065
1059.36,2069
1060.07,2069
1060.77,2034
1061.47,2047
1062.17,2039
1062.87,2027
1063.57,2052
1064.27,2059
1064.97,2054
1065.67,2066
1066.37,2076
1067.07,2066
1067.77,2068
1068.47,2056
1069.17,2065
1069.87,2086
1070.57,2054
1071.27,2073
1071.97,2063
1072.66,2062
1073.36,2055
1074.06,2035
1074.76,2039
1075.46,2032
1076.16,2050
1076.85,2026
1077.55,2022
1078.25,2005
1078.95,1997
1079.64,1979
1080.34,1990
1081.04,1977
1081.73,1979
1082.43,1976
1083.13,1992
1083.82,1979
1084.52,1960
1085.22,1948
1085.91,1968
1086.61,1964
1087.3,1971
1088,1969
1088.69,1961
1089.39,1970
1090.09,1959
1090.78,1950
1091.47,1951
1092.17,1972
1092.86,1990
1093.56,1975
1094.25,1969
1094.95,1976
1095.64,1967
1096.33,1959
1097.03,1969
1097.72,1952
1098.41,1943
1099.11,1951
1099.8,1937
1100.49,1947
1101.19,1947
1101.88,1948
1102.57,1957
1103.26,1994
1103.96,1984
1104.65,1957
1105.34,1941
1106.03,1962
1106.72,1972
1107.42,1980
1108.11,1999
1108.8,1996
1109.49,1983
1110.18,1968
1110.87,1941
1111.56,1936
1112.25,1980
1112.94,2010
1113.63,2017
1114.32,2002
1115.01,1997
1115.7,2004
1116.39,2008
1117.08,2005
1117.77,2008
1118.46,2005
1119.15,1997
1119.84,2007
1120.53,2015
1121.22,1968
1121.9,1970
1122.59,1961
1123.28,1965
1123.97,1950
1124.66,1981
1125.34,1979
1126.03,1996
1126.72,1988
1127.41,1968
1128.09,1956
1128.78,1962
1129.47,1982
1130.15,1986
1130.84,1984
1131.53,1956
1132.21,1959
1132.9,1955
1133.59,1970
1134.27,1974
1134.96,1965
1135.64,1960
1136.33,1981
1137.01,1980
1137.7,1957
1138.38,1962
1139.07,1963
1139.75,1974
1140.44,1985
1141.12,1990
1141.81,1995
1142.49,1986
1143.18,1981
1143.86,1984
1144.54,1975
1145.23,1961
1145.91,1952
1146.59,1970
1147.28,1971
1147.96,2001
1148.64,2015
1149.33,2027
1150.01,2000
1150.69,1998
1151.37,2003
1152.06,2028
1152.74,2034
1153.42,2032
1154.1,2058
1154.78,2081
1155.46,2095
1156.15,2091
1156.83,2105
1157.51,2095
1158.19,2103
1158.87,2106
1159.55,2137
1160.23,2152
1160.91,2150
1161.59,2162
1162.27,2166
1162.95,2196
1163.63,2173
1164.31,2144
1164.99,2167
1165.67,2207
1166.35,2225
1167.03,2220
1167.71,2209
1168.39,2227
1169.06,2219
1169.74,2235
1170.42,2222
1171.1,2257
1171.78,2252
1172.46,2219
1173.13,2211
1173.81,2218
1174.49,2244
1175.17,2218
1175.84,2215
1176.52,2220
1177.2,2241
1177.87,2230
1178.55,2226
1179.23,2209
1179.9,2218
1180.58,2196
1181.26,2167
1181.93,2147
1182.61,2135
1183.28,2146
1183.96,2139
1184.64,2140
1185.31,2138
1185.99,2136
1186.66,2155
1187.34,2144
1188.01,2143
1188.68,2136
1189.36,2139
1190.03,2143
1190.71,2166
1191.38,2175
1192.06,2179
1192.73,2148
1193.4,2170
1194.08,2173
1194.75,2185
1195.42,2200
1196.1,2219
1196.77,2209
1197.44,2199
1198.11,2179
1198.79,2167
1199.46,2166
1200.13,2188
1200.8,2243
1201.47,2227
1202.15,2203
1202.82,2173
1203.49,2161
1204.16,2177
1204.83,2170
1205.5,2149
1206.17,2118
1206.84,2132
1207.52,2130
1208.19,2123
1208.86,2133
1209.53,2125
1210.2,2113
1210.87,2088
1211.54,2066
1212.21,2081
1212.88,2075
1213.54,2084
1214.21,2080
1214.88,2060
1215.55,2068
1216.22,2051
1216.89,2047
1217.56,2046
1218.23,2041
1218.89,2015
1219.56,2032
1220.23,2071
1220.9,2066
1221.57,2043
1222.23,2058
1222.9,2087
1223.57,2086
1224.24,2098
1224.9,2090
1225.57,2089
1226.24,2054
1226.9,2055
1227.57,2055
1228.24,2048
1228.9,2026
1229.57,2032
1230.23,2069
1230.9,2095
1231.56,2106
1232.23,2087
1232.9,2072
1233.56,2088
1234.23,2086
1234.89,2089
1235.56,2093
1236.22,2093
1236.88,2110
1237.55,2109
1238.21,2097
1238.88,2100
1239.54,2079
1240.2,2072
1240.87,2081
1241.53,2116
1242.2,2099
1242.86,2076
1243.52,2077
1244.18,2071
1244.85,2060
1245.51,2055
1246.17,2052
1246.84,2098
1247.5,2073
1248.16,2055
1248.82,2036
1249.48,2062
1250.15,2053
1250.81,2030
1251.47,2013
1252.13,2010
1252.79,2005
1253.45,2050
1254.11,2069
1254.77,2071
1255.43,2064
1256.09,2046
1256.75,2036
1257.41,2021
1258.07,2021
1258.73,2019
1259.39,2024
1260.05,2050
1260.71,2065
1261.37,2049
1262.03,2054
1262.69,2049
1263.35,2039
1264.01,2036
1264.67,2043
1265.33,2049
1265.98,2040
1266.64,2065
1267.3,2059
1267.96,2041
1268.62,2052
1269.27,2067
1269.93,2062
1270.59,2071
1271.25,2039
1271.9,2036
1272.56,2039
1273.22,2022
1273.87,2035
1274.53,2041
1275.19,2026
1275.84,2036
1276.5,2027
1277.16,2010
1277.81,1998
1278.47,2001
1279.12,1995
1279.78,2014
1280.43,2020
1281.09,2024
1281.74,2022
1282.4,2037
1283.05,2057
1283.71,2050
1284.36,2051
1285.02,2038
1285.67,2024
1286.32,2041
1286.98,2020
1287.63,2017
1288.29,2022
1288.94,2045
1289.59,2003
1290.25,2014
1290.9,1988
1291.55,1975
1292.21,1984
1292.86,1985
1293.51,2002
1294.16,1993
1294.82,1998
1295.47,1967
1296.12,1981
1296.77,1980
1297.42,2004
1298.07,1999
1298.73,1986
1299.38,1972
1300.03,1975
1300.68,1992
1301.33,1994
1301.98,1980
1302.63,1971
1303.28,1955
1303.93,1954
1304.58,1957
1305.23,1968
1305.88,1957
1306.53,1975
1307.18,1974
1307.83,1984
1308.48,1969
1309.13,1957
1309.78,1965
1310.43,1964
1311.08,1968
1311.73,1960
1312.38,1973
1313.02,1962
1313.67,1955
1314.32,1959
1314.97,1953
1315.62,1943
1316.26,1935
1316.91,1919
1317.56,1919
1318.21,1935
1318.85,1935
1319.5,1933
1320.15,1920
1320.79,1930
1321.44,1929
1322.09,1913
1322.73,1950
1323.38,1960
1324.03,1948
1324.67,1948
1325.32,1958
1325.96,1961
1326.61,1938
1327.25,1936
1327.9,1972
1328.55,1974
1329.19,1982
1329.84,1969
1330.48,1958
1331.12,1920
1331.77,1918
1332.41,1902
1333.06,1920
1333.7,1942
1334.35,1952
1334.99,1932
1335.63,1913
1336.28,1921
1336.92,1935
1337.56,1919
1338.21,1919
1338.85,1904
1339.49,1922
1340.14,1929
1340.78,1935
1341.42,1940
1342.06,1934
1342.7,1960
1343.35,1952
1343.99,1943
1344.63,1950
1345.27,1957
1345.91,1939
